data_type,regime,Xdim,ydim,nsamples,learning_algo,lr,update_noise,label_noise,loss,active,active_units,log_tau,eig_sum,eig_max,eig_nonzero,link,sim_len
random,rich,16,1,18,SGD,0.1,0.0,0.49417133613238345,-1.6876423407673633,0.05366922234392114,0.2738095238095239,0.0,0.36624887094183406,0.18167878657122608,0.1197222222222222,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/954/\plot.html,9999999
random,rich,13,14,6,SGD,0.1,0.0,0.13257113655901093,-2.7995180439396736,0.5910780669144982,0.9104477611940299,-5.226608120018184,0.21774646926286567,0.5063641927783356,0.3198571428571429,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/955/\plot.html,9999999
random,rich,3,11,10,SGD,0.1,0.0,0.14563484775012436,-2.7995374014048107,0.6857142857142858,0.9722222222222222,-2.989811329197263,0.17583439483346408,0.20774378580611416,0.38606666666666667,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/956/\plot.html,9999999
smoothed,rich,18,16,11,SGD,0.1,0.0,0.12067926406393285,-2.8844334448224043,0.891862567811935,0.9076923076923076,-2.3375406846137956,0.23198214923569524,0.3527673618184997,0.3198857142857143,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/958/\plot.html,9999999
smoothed,lazy,15,17,10,SGD,0.1,0.022229964825261943,0.0,-2.8666021772328136,0.0490530303030303,0.054794520547945195,-5.757504948771603,0.29010385404521655,1.0716159121537885,0.03245454545454545,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/959/\plot.html,9999999
predictive,rich,10,1,15,SGD,0.1,0.0,0.16768329368110083,-2.6211234457933696,0.6014245014245013,0.9729729729729729,-6.095522016989623,0.3237655685900682,0.34753984435944235,0.3972857142857143,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/96/\plot.html,9999999
smoothed,lazy,2,11,9,SGD,0.1,0.03556480306223128,0.0,-2.410907275128118,0.05288220551378446,0.07692307692307693,-5.81982140158331,0.23456569519836443,0.9766188225089963,0.04428571428571429,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/961/\plot.html,9999999
smoothed,lazy,1,14,3,SGD,0.1,0.020235896477251564,0.0,-2.0433721686027417,0.045751633986928116,0.04761904761904763,-5.586977994276869,0.251742629786285,0.9477610601366856,0.0335625,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/962/\plot.html,9999999
smoothed,lazy,8,9,14,SGD,0.1,0.010985411419875584,0.0,-3.2506405581186213,0.6454819277108433,0.5675675675675677,-5.5051416389801435,1.5414606380690705,1.2726985379524733,0.24111111111111114,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/963/\plot.html,9999999
predictive,lazy,17,6,6,SGD,0.1,0.015264179671752334,0.0,-2.176350162746367,0.04141791044776119,0.09384615384615386,-5.773387794799377,0.5641573982386958,1.094705524479021,0.04360000000000001,C:\Users\avivra\Dropbox (Technion Dropbox)\avivratzon\drift_reg_proj/outputs//random/965/\plot.html,9999999
